Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3C6IhLv7B9VxG8HVp3vaW7,"Violin Concerto No. 4 in D Major, K. 218: II. Andante cantabile","Mozart: Violin Concertos 3, 4 & 5","Wolfgang Amadeus Mozart;Arabella Steinbacher;Lucerne Festival Strings;Daniel Dodds",2014-05-01,461653,35,false,,2026-02-05T11:56:26Z,"classical,opera,classical piano,chamber music,concerto","Pentatone",0.23,0.0653,9,-23.707,1,0.0483,0.971,0.169,0.11,0.199,96.94,4
spotify:track:18ZX6YaDSOopXPRvfIh8DM,"Évidemment","Évidemment","La Zarra",2023-02-19,181000,53,false,,2026-01-20T19:22:42Z,"french pop","Universal Music Division Capitol Music France",0.731,0.743,11,-4.626,1,0.0682,0.116,0,0.0779,0.239,120.01,4
spotify:track:0e00DiF2T9znEdmWakYSC3,"labour","Cacophony","Paris Paloma",2024-08-30,237744,72,true,,2026-01-20T19:00:42Z,"","Nettwerk Music Group",0.649,0.573,11,-10.301,0,0.099,0.383,0.000152,0.354,0.446,83.987,4
spotify:track:0fFvnchgpEzoncJzjpwL2S,"Skyrim Theme (Dragonborn)","Destiny","Celtic Woman",2015-11-06,193733,8,false,,2026-01-14T14:33:16Z,"celtic,classical crossover","Celtic Collections",0.607,0.529,11,-8.909,0,0.0298,0.722,0.00263,0.0596,0.496,100.513,3
spotify:track:2ajUl8lBLAXOXNpG4NEPMz,"Sway","Michael Bublé","Michael Bublé",2003,188066,75,false,,2025-12-25T12:36:59Z,"christmas","143/Reprise",0.713,0.639,2,-5.529,0,0.0313,0.753,0,0.0878,0.737,125.959,4
spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,"Feel It Still","Woodstock","Portugal. The Man",2017-06-16,163253,83,false,,2025-12-22T12:25:04Z,"","Atlantic Records",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4
spotify:track:6sGIMrtIzQjdzNndVxe397,"So Easy (To Fall In Love)","The Art of Loving","Olivia Dean",2025-09-26,169000,97,false,,2025-12-22T11:26:54Z,"pop soul","PLG - Capitol",0.749,0.633,3,-5.917,1,0.0373,0.665,0,0.0817,0.572,139.898,4
spotify:track:7yUukIX492jvLR85xYQkvc,"Run","In A Time Lapse","Ludovico Einaudi;I Virtuosi Italiani",2013-01-01,332360,59,false,,2025-12-05T14:36:04Z,"neoclassical,classical,contemporary classical","Decca (UMO) (Classics)",0.336,0.173,11,-14.492,0,0.0477,0.99,0.927,0.076,0.0374,118.564,3
spotify:track:29hVkc2xsdLzgzJZacd2qy,"Czardas - Piano Solo Version","Czardas (Piano Solo Version)","Kassia",2021-11-01,229124,40,false,,2025-11-20T14:54:46Z,"classical piano,classical","Kassia",0.347,0.194,2,-15.798,1,0.0342,0.975,0.913,0.183,0.23,81.097,4
spotify:track:5C9uEZOzH5OLPYvLStDVeM,"Nocturne in D-Flat Major ""Un rêve""","Nocturne in D-Flat Major ""Un rêve""","Eric Christian",2019-08-30,283022,59,false,,2025-11-11T12:20:16Z,"","EVF Entertainment",0.372,0.119,1,-17.25,1,0.0474,0.965,0.839,0.124,0.0684,68.891,4
spotify:track:4VrWlk8IQxevMvERoX08iC,"Chandelier","1000 Forms Of Fear","Sia",2014-07-04,216120,83,false,,2025-11-10T22:33:24Z,"","Monkey Puzzle Records/RCA Records",0.399,0.787,1,-2.88,1,0.0499,0.0197,0.0000607,0.0685,0.572,117.089,5
spotify:track:2Tf3o75XkU0IS06tYgEuvn,"Lust","Lust","Marino;Alexandria",2025-10-14,115294,76,false,,2025-11-08T10:32:02Z,"","broke",0.74,0.535,1,-7.385,0,0.0377,0.522,0,0.268,0.478,106.02,4
spotify:track:0byPyCPX9mfGMiAGVZxasq,"Carol Of The Bells","Warmer In The Winter (Deluxe Edition)","Lindsey Stirling",2018-10-19,166093,67,false,,2025-11-04T08:41:11Z,"classical crossover,christmas","Concord Records",0.227,0.66,4,-5.993,0,0.0759,0.0274,0.000538,0.0787,0.27,167.956,3
spotify:track:7uoFMmxln0GPXQ0AcCBXRq,"Snowman","Everyday Is Christmas (Deluxe Edition)","Sia",2018-11-01,165900,79,false,,2025-11-04T08:38:17Z,"","Monkey Puzzle/Atlantic",0.717,0.524,1,-6.222,1,0.0331,0.426,0,0.0932,0.339,104.953,3
spotify:track:3gVhsZtseYtY1fMuyYq06F,"Sonne","Mutter","Rammstein",2001-04-02,272440,79,false,,2025-10-31T23:21:13Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4
spotify:track:4VoSYq3aTp57jgrdNswzrd,"Necromancin Dancin","Blasterpiece","Bear Ghost",2016-02-18,227741,57,false,,2025-10-29T19:08:45Z,"","Bear Ghost",0.56,0.885,4,-5.497,0,0.0867,0.000469,0,0.119,0.806,154.006,4
spotify:track:73MWNenV7mQGUdXB8npY4H,"The Fine Print","The Fine Print (The Outer Worlds Song)","The Stupendium",2019-12-02,274285,61,false,,2025-10-29T17:22:25Z,"","971973 Records DK",0.764,0.905,0,-4.114,1,0.194,0.293,0,0.584,0.772,91.047,4
spotify:track:1oAwsWBovWRIp7qLMGPIet,"Apocalypse","Cigarettes After Sex","Cigarettes After Sex",2017-06-09,290146,89,false,,2025-10-25T23:04:15Z,"dream pop","Partisan Records",0.369,0.467,5,-9.018,1,0.0274,0.0194,0.46,0.109,0.174,94.473,4
spotify:track:1n7xFAY4xoPeqRvrkzAtsw,"Good Old-Fashioned Lover Boy - Remastered 2011","A Day At The Races (Deluxe Edition 2011 Remaster)","Queen",1976-12-10,173173,68,false,,2025-10-25T22:38:49Z,"classic rock,rock,glam rock","EMI",0.543,0.461,3,-6.724,1,0.0302,0.577,0,0.0563,0.385,96.803,4
spotify:track:6dBUzqjtbnIa1TwYbyw5CM,"Lovers Rock","French Exit","TV Girl",2014-06-05,213920,87,false,,2025-10-25T22:28:15Z,"","TV Girl",0.559,0.871,5,-5.338,0,0.0397,0.00000753,0.00545,0.096,0.572,104.97,4
spotify:track:071uK6V3dKj3BMNNzTEyRu,"Fantastic (from the series Arcane League of Legends)","Arcane League of Legends: Season 2 (Soundtrack from the Animated Series)","Arcane;King Princess",2024-11-23,184960,66,true,,2025-10-25T22:26:34Z,"score","Riot Games",0.555,0.636,5,-6.569,1,0.0271,0.00435,0.000674,0.153,0.286,106.003,4
spotify:track:7FM4XWxl4sZe8Yq5Zg6lsn,"Folk Rush","Folk Rush","Anya Nami",2025-08-15,140904,58,false,,2025-10-24T13:30:57Z,"","broke",0.483,0.708,4,-6.214,0,0.131,0.656,0,0.576,0.665,135.537,4
spotify:track:1isVrkXme1s5XbPYGfawzV,"Put Your Money Where Your Mouth Is","Put Your Money Where Your Mouth Is","Ella Red",2023-05-26,164746,58,true,,2025-10-24T13:22:19Z,"","Nettwerk Music Group",0.725,0.64,9,-6.721,0,0.026,0.178,0,0.082,0.551,91.98,4
spotify:track:03p1bgcOw398mneQ9H8891,"as good a reason","Cacophony","Paris Paloma",2024-08-30,169721,61,false,,2025-10-24T13:19:57Z,"","Nettwerk Music Group",0.658,0.766,10,-5.463,0,0.0438,0.0998,0,0.118,0.446,103.973,4
spotify:track:5IL3Fivumoc4WwhZKOBnh9,"Waltz of Cecilia","Peaceful Solitude","Teesa",2021-02-16,190239,55,false,,2025-10-22T08:12:42Z,"","2027087 Records DK",0.29,0.0566,9,-29.231,1,0.0387,0.982,0.796,0.145,0.115,184.798,3
spotify:track:6cx5CvFhqN19efStehJqoW,"Valentine","Everything I Know About Love","Laufey",2022-08-26,168906,78,false,,2025-10-18T10:03:03Z,"","Laufey",0.472,0.204,3,-13.065,1,0.0452,0.917,0,0.107,0.224,82.51,4
spotify:track:6IPwKM3fUUzlElbvKw2sKl,"we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,85,false,,2025-10-18T09:53:02Z,"bedroom pop","world in red",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
spotify:track:55lijDD6OAjLFFUHU9tcDm,"WHERE IS MY HUSBAND!","WHERE IS MY HUSBAND!","RAYE",2025-09-19,196795,96,false,,2025-10-15T08:07:46Z,"","Human Re Sources",0.39,0.781,8,-7.04,1,0.0918,0.0599,0,0.14,0.628,115.939,4
spotify:track:0Eb6Iah5xrwJDEo7QqFzYn,"Blight","Relapse Is A Love Affair","Hail The Sun",2025-10-08,181884,4,false,,2025-10-14T10:33:02Z,"post-hardcore,math rock,emo,screamo","Rude Records Equal Vision",0.222,0.934,5,-5.211,0,0.212,0.0000945,0.00028,0.468,0.13,142.66,3
spotify:track:5QEXMk2eWdIPPj6fXPqEjw,"Insensitive Tempo","Relapse Is A Love Affair","Hail The Sun",2025-10-08,265079,5,false,,2025-10-14T10:29:34Z,"post-hardcore,math rock,emo,screamo","Rude Records Equal Vision",0.155,0.937,1,-4.613,1,0.135,0.00111,0,0.109,0.303,93.131,3
spotify:track:32CrxgdqClXxLbznxwRRPJ,"Khachaturian: Violin Concerto in D Minor, Op. 46: I. Allegro con fermezza (Cadenza by Oistrakh)","Khachaturian: Violin Concerto, Taneyev: Suite de concert","Aram Khachaturian;David Oistrakh;Philharmonia Orchestra",1955,848240,12,false,,2025-10-09T17:16:49Z,"concerto,classical,chamber music,opera,orchestral","Warner Classics",0.373,0.251,9,-15.499,0,0.0483,0.963,0.438,0.0794,0.225,150.11,4
spotify:track:7eoC95sT8KxeZGPAikDOAm,"Secret","Thirteen Tales Of Love And Revenge","The Pierces",2008-10-27,229160,57,false,,2025-10-04T09:37:38Z,"","Lizard King Records",0.577,0.486,9,-6.966,0,0.0548,0.0557,0,0.2,0.236,138.172,3
spotify:track:6KHZF70INWm9Re5CHAUcLm,"Chevaliers De Sangreal - From ""The Da Vinci Code""","Cello Unlimited","Hans Zimmer;Kian Soltani",2021-10-15,245200,39,false,,2025-09-26T08:57:39Z,"soundtrack,score,chamber music,classical","Deutsche Grammophon (DG)",0.238,0.185,5,-15.298,1,0.0391,0.906,0.888,0.105,0.0646,165.236,3
spotify:track:4RY8NabvRv6Y95x96asZbr,"Expiration Dating","Expiration Dating","Madelline",2025-05-20,180652,53,false,,2025-09-15T11:57:09Z,"","Lucky Bastards LLC",0.642,0.692,7,-3.862,1,0.0544,0.078,0,0.1,0.222,138.035,3
spotify:track:1MqzIgGsHP4cNjPboevsfq,"Tourner Dans Le Vide","Mini World","Indila",2014-01-01,246093,74,false,,2025-09-03T17:00:26Z,"french pop","Universal Music Division Polydor France",0.593,0.698,6,-8.645,0,0.0428,0.103,0,0.173,0.376,119.989,4
spotify:track:4IWP6OdBUJnJORgROPlAoX,"Fate of the Clockmaker","Forgotten Odes","Eternal Eclipse",2020-04-07,152441,42,false,,2025-08-31T19:24:49Z,"orchestral","Eternal Eclipse",0.591,0.895,2,-7.866,1,0.0597,0.267,0.899,0.102,0.114,78.114,4
spotify:track:4k0hvjglHbcZI203QI4pF7,"You Make Me Feel Like It’s Halloween","Will Of The People","Muse",2022-08-26,180302,51,false,,2025-08-30T12:37:49Z,"alternative rock,rock","Warner Records",0.514,0.935,1,-3.331,1,0.0605,0.000394,0.000764,0.386,0.53,123.032,4
spotify:track:3RCEHYekMeTtEBxN0MGlKA,"Untold Story","Virtuoso","Inon Zur",2020-01-22,133026,25,false,,2025-08-28T11:22:06Z,"soundtrack","Seventh Sense",0.252,0.23,0,-13.005,0,0.0357,0.00602,0.906,0.097,0.0586,140.085,4
spotify:track:1vVstLxECP6hgyeMUDPSWU,"Kings And Pawns","Virtuoso","Inon Zur",2020-01-22,113673,32,false,,2025-08-06T16:38:02Z,"soundtrack","Seventh Sense",0.332,0.602,9,-8.691,0,0.0542,0.43,0.939,0.227,0.539,171.17,3
spotify:track:6lKSOnC9iLGDonypMgvGrm,"Too Much","Too Much","Dove Cameron",2025-02-21,171335,73,false,,2025-07-26T20:10:47Z,"","Disruptor Records/Columbia",0.722,0.819,1,-4.76,1,0.0489,0.0243,0.000135,0.0814,0.614,134.992,4
spotify:track:64j8zOeViwMfPcL4MlMErp,"Glitz At The Ritz","Razzmatazz","Jules Gaia",2016-01-04,125625,52,false,,2025-07-26T19:42:56Z,"electro swing,swing music","Epidemic Sound",0.703,0.925,7,-4.161,1,0.233,0.0171,0.918,0.0994,0.382,128.026,4
spotify:track:5YXr4AGfUQpLSxtFSsKUh6,"Map of the Problematique","Black Holes and Revelations","Muse",2006-06-28,258066,62,false,,2025-07-14T19:49:53Z,"alternative rock,rock","Warner Records",0.493,0.959,8,-3.613,1,0.0414,0.000386,0.118,0.254,0.703,125.04,4
spotify:track:6Z34YgqCJkdrliDmbcaJgy,"Carmen Suite No. 1: 5. Les toréadors","Bizet: Carmen Suites; L'Arlésienne Suites","Georges Bizet;Orchestre de Paris;Semyon Bychkov",1994-08-04,138000,54,false,,2025-06-16T11:34:31Z,"opera,classical,orchestral,concerto","Decca Music Group Ltd.",0.335,0.372,5,-16.127,1,0.037,0.697,0.0000536,0.141,0.821,127.129,4
spotify:track:6IabIimt88FcZu80dunXWA,"La poupée monte le son","La poupée monte le son","Laura Thorn",2025-03-18,178378,52,false,,2025-06-09T10:59:52Z,"","Ily8",0.734,0.731,7,-5.418,1,0.0329,0.0227,0.0000021,0.0557,0.633,131.99,4
spotify:track:6E7wqplViIGfBHyoVDj4yW,"I Like You Best","I Like You Best","Ella Red",2024-06-28,163258,65,false,,2025-05-07T12:23:11Z,"","Nettwerk Music Group",0.572,0.647,11,-3.867,0,0.0353,0.0116,0.00369,0.574,0.663,94.127,4
spotify:track:1EjIXKhNHI00ZLMRpS8iz8,"The Code","The Code","Nemo",2024-02-29,180141,62,false,,2025-05-07T11:02:44Z,"","Better Now Records",0.542,0.77,5,-3.852,0,0.147,0.215,0,0.0893,0.489,159.818,4
spotify:track:56pXPk5rR4pmQVZAarPGpH,"Here, Tomorrow","Here, Tomorrow","League of Legends;Kevin Penkin;Lilas",2025-04-14,187400,2,false,,2025-04-28T22:13:44Z,"anime,soundtrack,j-pop","Riot Games",0.383,0.603,2,-5.887,0,0.037,0.108,0.0000484,0.138,0.135,155.867,4
spotify:track:0Toi0YGo4CMUcihZRlzsSG,"Shostakovich: String Quartet No.8 In C Minor, Op.110: 2. Allegro molto","Encores","Dmitri Shostakovich;Dover Quartet;Brooklyn Classical",2021-09-24,158839,22,false,,2025-04-26T08:35:51Z,"classical,chamber music,orchestral,classical piano","Brooklyn Classical",0.409,0.703,8,-7.529,1,0.0364,0.848,0.918,0.307,0.654,138.884,4
spotify:track:5ZpAU5f4jxj6i9XoKK0RaI,"Burning Pile","O My Heart","Mother Mother",2008-09-23,262173,70,false,,2025-04-04T20:49:00Z,"","Last Gang",0.515,0.755,5,-3.724,1,0.0383,0.0633,0.00101,0.107,0.165,140.101,4
spotify:track:1b9K8zcencFmQl68Oot9DS,"DEBT COLLECTOR","A BEGINNER'S GUIDE TO FAKING YOUR DEATH","Jhariah",2021-07-23,152034,51,false,,2025-04-01T22:25:52Z,"","Jhariah",0.416,0.918,1,-4.058,1,0.186,0.00169,0.000432,0.122,0.387,193.134,4
spotify:track:5n6RDaGFSN88oRWuGtYAIN,"The Show Must Go On - Remastered 2011","Innuendo (2011 Remaster)","Queen",1991-02-05,277826,71,false,,2025-03-26T07:55:39Z,"classic rock,rock,glam rock","EMI",0.426,0.687,11,-6.926,0,0.0329,0.409,0,0.112,0.189,84.141,4
spotify:track:5PCNd6UnT4y9Ygz0KFmIMC,"Euphoria","Will Of The People","Muse",2022-08-26,203177,46,false,,2025-03-25T09:54:36Z,"alternative rock,rock","Warner Records",0.37,0.923,5,-3.112,1,0.0721,0.00041,0,0.324,0.298,158.088,4
spotify:track:466C6kwoJHLUJ8VHG98hCY,"Roundabout - 2024 Remaster","Fragile (Super Deluxe)","Yes",1971-11-12,516245,64,false,,2025-03-17T13:32:34Z,"progressive rock,art rock,aor","Rhino Atlantic",0.429,0.711,4,-11.314,0,0.0793,0.148,0.0514,0.291,0.416,132.143,4
spotify:track:3f3FDZajRpcLQGln7OZqdi,"asphyxia","PURE","Cö shu Nie",2019-12-11,174893,61,false,,2025-03-15T22:57:22Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.181,0.913,5,-3.318,1,0.152,0.0501,0,0.282,0.392,82.176,4
spotify:track:7sA2SKTo1QbTSSYn5YvJC4,"Sharks","Mercury - Acts 1 & 2","Imagine Dragons",2022-07-01,190883,73,false,,2025-03-15T16:44:39Z,"","Kid Ina Korner / Interscope",0.927,0.642,10,-4.466,0,0.0657,0.00791,0.0000362,0.279,0.901,123.969,4
spotify:track:3vjs2MDHoF9xhylNg6Y9un,"Chateau (Feel Alright)","Twenty Twenty","Djo",2019-09-13,272157,73,false,,2025-03-10T07:38:47Z,"","Djo",0.641,0.365,7,-11.765,1,0.027,0.434,0.00000849,0.297,0.343,134.874,4
spotify:track:5abubE0dYFaEPDeM2sZ4TY,"What Do They Know?","You'll Rebel to Anything (Expanded and Remastered 2008)","Mindless Self Indulgence",2005,188573,67,false,,2025-03-07T23:49:30Z,"","Metropolis Records",0.645,0.791,7,-5.48,1,0.0927,0.0406,0,0.293,0.601,153.95,4
spotify:track:4EaBMhUIOfnFEbIgqCfKbi,"The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture","The Phantom Of The Opera (Original Motion Picture Soundtrack)","Andrew Lloyd Webber;Gerard Butler;Emmy Rossum",2004-12-10,216133,28,false,,2025-03-07T15:05:30Z,"musicals","UMC (Universal Music Catalogue)",0.444,0.608,2,-12.175,0,0.0532,0.168,0.00000336,0.118,0.354,119.985,4
spotify:track:2pci27dW6PNGUPnXKdJFzd,"Rock in God's Shoe","Rock in God's Shoe","Sushi Soucy",2023-08-20,164867,55,false,,2025-03-07T09:38:58Z,"","Sushi Soucy",0.639,0.344,7,-14.056,1,0.0658,0.771,0,0.179,0.252,124.886,4
spotify:track:0EeYGqGqNyPWBanBABKrvA,"Stay Positive","Sushi Soup","Sushi Soucy",2021-07-06,115842,25,false,,2025-03-06T08:59:04Z,"","Sushi Soucy",0.628,0.0802,7,-14.975,1,0.0478,0.844,0,0.0923,0.414,81.268,3
spotify:track:7LJBynRy2YpNeAXJk9dYvx,"Once Again","Rockabye (Original Cast Recording)","Sushi Soucy",2023-09-21,137475,24,true,,2025-03-06T08:33:15Z,"","957201 Records DK2",0.471,0.564,7,-6.218,1,0.0281,0.0434,0,0.0996,0.207,149.971,3
spotify:track:1P17dC1amhFzptugyAO7Il,"Look What You Made Me Do","reputation","Taylor Swift",2017-11-10,211853,78,false,,2025-02-26T17:57:37Z,"","Taylor Swift",0.766,0.709,9,-6.471,0,0.123,0.204,0.0000141,0.126,0.506,128.07,4
spotify:track:0VU7avDE4OZ36oVmLPSEZA,"Seaside Rendezvous - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,134120,46,false,,2025-02-24T08:12:34Z,"classic rock,rock,glam rock","EMI",0.458,0.699,0,-5.496,1,0.116,0.36,0,0.295,0.797,167.463,4
spotify:track:1DL2gvMBTCFmg2dREI9Lwp,"Lazing On A Sunday Afternoon - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,67400,42,false,,2025-02-23T19:26:14Z,"classic rock,rock,glam rock","EMI",0.645,0.557,3,-9.107,1,0.0535,0.4,0.00183,0.0845,0.703,131.882,4
spotify:track:1cN13ivH3D66m9DoW2Z7iU,"Death On Two Legs (Dedicated To...) - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,223920,44,false,,2025-02-23T19:24:30Z,"classic rock,rock,glam rock","EMI",0.403,0.691,2,-6.219,1,0.0544,0.362,0.0000403,0.133,0.5,124.695,4
spotify:track:0kYMwaQWABTkFff8AZjmYI,"Hayloft II","Inside (Deluxe)","Mother Mother",2022-01-28,215040,74,false,,2025-02-22T19:48:01Z,"","WM Canada",0.326,0.866,9,-4.541,0,0.101,0.0044,0.00000737,0.0912,0.172,178.181,4
spotify:track:5MeRp8hOuqB490UWMJ7ber,"Il n'y a pas d'amour heureux - Remasterisé en 2016","Ma jeunesse fout le camp (Remasterisé en 2016)","Françoise Hardy",1967,145146,44,false,,2025-02-19T11:29:46Z,"chanson,french pop,variété française,french jazz","Parlophone (France)",0.384,0.262,7,-11.362,0,0.0393,0.875,0.000202,0.125,0.476,134.812,4
spotify:track:63vL5oxWrlvaJ0ayNaQnbX,"Istanbul (Not Constantinople)","Flood","They Might Be Giants",1990-01-02,153813,64,false,,2025-02-19T11:21:46Z,"","Rhino",0.688,0.748,5,-9.39,0,0.0377,0.0801,0.00453,0.136,0.892,114.144,4
spotify:track:4OSBTYWVwsQhGLF9NHvIbR,"Rolling in the Deep","21","Adele",2011-01-24,228093,81,false,,2025-02-18T21:27:49Z,"soft pop","XL Recordings",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:5Hyr47BBGpvOfcykSCcaw9,"Holding Out for a Hero - From ""Footloose"" Soundtrack","Secret Dreams and Forbidden Fire","Bonnie Tyler",1986-05-05,348333,76,false,,2025-02-18T21:11:31Z,"","Sony Music CG",0.616,0.685,9,-15.289,0,0.04,0.0245,0.0000113,0.0491,0.895,150.055,4
spotify:track:5IumuUJqNO7K5SvniuDrBz,"We Are Fucking Fucked","Will Of The People","Muse",2022-08-26,216729,48,true,,2025-02-15T10:09:02Z,"alternative rock,rock","Warner Records",0.209,0.981,9,-2.644,0,0.186,0.0000344,0.0000835,0.0574,0.236,146.979,4
spotify:track:39DJV3ajNVcOhFyhQ9kfrv,"Liberation of the Soul","Liberation of the Soul","B²TSM",2024-12-12,174000,18,false,,2025-01-06T10:14:27Z,"","B²TSM",0.571,0.833,2,-5.801,1,0.0626,0.118,0.0000872,0.128,0.187,180.054,3
spotify:track:4ZmNDYanw9TYrmEQmtRNrh,"Duh Duh Duh Dum","Duh Duh Duh Dum","B²TSM",2022-08-06,177612,25,false,,2024-12-21T11:44:24Z,"","Pony Music",0.629,0.812,2,-7.099,1,0.0449,0.106,0.00039,0.0535,0.107,142.026,4
spotify:track:7yUMsB2mjbhcWl3VZfnnqo,"Dirty Little Animals (from the series Arcane League of Legends)","Arcane League of Legends (Soundtrack from the Animated Series)","BONES UK",2021-11-20,205188,51,false,,2024-12-16T14:27:03Z,"","Riot Games",0.563,0.841,1,-6.38,0,0.382,0.0331,0,0.484,0.617,106.076,4
spotify:track:27cw0tNJKQQW2CJMGcCfZb,"I Deserve to Bleed","I Deserve to Bleed","Sushi Soucy",2020-12-27,104022,59,true,,2024-12-16T08:52:21Z,"","Sushi Soucy",0.761,0.276,7,-11.507,1,0.0682,0.918,0,0.16,0.595,119.991,4
