Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3By9jCy6b4dv5XnlhvIWwx,"Dies Irae","Verdi Requiem","Giuseppe Verdi;Carmen Giannattasio;Veronica Simeoni;Alxander Timchenko;Carlo Colombara;Yuri Temirkanov;St. Petersburg Philharmonic Orchestra",2009,134746,59,false,hbw4ryylwibkbkfi9w8v1nedt,2022-04-29T08:00:51Z,"opera,classical,classical piano","Signum Records",0.272,0.346,0,-14.01,0,0.0317,0.926,0.931,0.0772,0.24,79.773,4
spotify:track:0ROMalDdNg3L2HoZP4qFyJ,"The Four Seasons: Concerto No. 4 in F Minor, RV 297 ""L'inverno"" (winter): I. Allegro non molto","Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina'","Antonio Vivaldi;Adrian Chandler;La Serenissima",2015-09-04,201853,62,false,hbw4ryylwibkbkfi9w8v1nedt,2022-04-29T08:01:03Z,"baroque,classical,concerto,early music","AVIE Records",0.4,0.247,5,-18.249,0,0.0423,0.818,0.64,0.119,0.394,162.078,4
spotify:track:4Pk1KXtkFTJNKLqwHhD3Zn,"Main Titles (Fantastic Beasts and Where to Find Them)","Fantastic Beasts and Where to Find Them (Original Motion Picture Soundtrack)","James Newton Howard",2016-11-18,174722,45,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-25T07:19:35Z,"soundtrack,score","WaterTower Music",0.329,0.296,0,-16.47,1,0.0491,0.462,0.713,0.0944,0.0375,80.081,3
spotify:track:3e0dy2rIp2OMa6NuYk0j8x,"Danse macabre, Op. 40","Saint-Saens: Symphony No. 3 / Dance Macabre / Bacchanale / 3 Rhapsodies","Camille Saint-Saëns;Royal Stockholm Philharmonic Orchestra;James DePreist",1992-10-31,468360,0,false,hbw4ryylwibkbkfi9w8v1nedt,2022-04-29T08:02:28Z,"classical,opera,orchestral,contemporary classical","BIS",0.271,0.107,7,-23.701,0,0.0448,0.854,0.553,0.0758,0.0594,69.061,4
spotify:track:67kZlVD8tuQQ6Zx4erA9Jm,"Requiem, K. 626: IIIa. Dies irae","Mozart: Requiem","Wolfgang Amadeus Mozart;Wiener Singverein;Wiener Philharmoniker;Herbert von Karajan",1987-01-01,113000,46,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:14:30Z,"classical,opera,classical piano,chamber music,concerto,choral,orchestral","Deutsche Grammophon (DG)",0.342,0.564,10,-13.663,1,0.0431,0.921,0.349,0.304,0.476,151.984,4
spotify:track:6nqHzwOdGIaX57U6VU6kMO,"Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": IV. Allegro con fuoco","Dvorák: Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"" / Smetana: The Moldau","Antonín Dvořák;Wiener Philharmoniker;Herbert von Karajan",1985-10-01,685000,58,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:18:14Z,"classical,chamber music,orchestral,opera,concerto","Deutsche Grammophon (DG)",0.236,0.163,4,-15.639,0,0.0348,0.901,0.737,0.124,0.114,141.518,4
spotify:track:6xez71zpAqQ6N5i8E1jHlD,"Carmina Burana: O Fortuna","Orff: Carmina Burana","Carl Orff;Michael Tilson Thomas;The Cleveland Orchestra Chorus;The Cleveland Orchestra",1975,144360,57,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:24:26Z,"classical,ballet,minimalism,opera,orchestral,impressionism","Sony Classical",0.287,0.158,10,-19.478,1,0.0325,0.525,0.344,0.232,0.363,148.645,3
spotify:track:5rPqo5uyPn5MDoJkkiu8Nr,"Night on Bald Mountain","Mussorgsky: Pictures at an Exhibition & Night on Bald Mountain","Modest Mussorgsky;Leonard Bernstein;New York Philharmonic",1962,660866,48,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:25:30Z,"classical,orchestral","Sony Classical",0.316,0.244,2,-18.218,1,0.0431,0.911,0.816,0.182,0.0642,105.101,4
spotify:track:1avx3o0mYwoSxQYEZauB2N,"Carmina Burana: Fortune plango vulnera","Orff: Carmina Burana","Carl Orff;Michael Tilson Thomas;The Cleveland Orchestra;The Cleveland Orchestra Chorus",1975,164440,39,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:27:53Z,"classical,ballet,minimalism,orchestral,impressionism,opera","Sony Classical",0.333,0.179,10,-18.4,1,0.0491,0.314,0.00143,0.0595,0.242,134.46,4
spotify:track:6cUCckpdlqHJ5Ascf2uH2A,"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio","Beethoven: Symphonies Nos.5 & 7","Ludwig van Beethoven;Wiener Philharmoniker;Carlos Kleiber",1995-01-01,442000,0,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:27:58Z,"classical,classical piano,chamber music,opera,orchestral,concerto","Deutsche Grammophon (DG)",0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,4
spotify:track:2Xz4hxOYFPVdbZQuEq49FY,"Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso - Excerpt","Piano Concerto No. 1 in B-Flat Minor, Op. 23, TH 55: 1. Allegro non troppo e molto maestoso (Excerpt)","Pyotr Ilyich Tchaikovsky;Vladimir Ashkenazy;London Symphony Orchestra;Lorin Maazel",1963,221257,53,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:31:07Z,"ballet,classical,orchestral,classical piano,chamber music,impressionism,concerto,opera","Decca Music Group Ltd.",0.39,0.258,1,-14.175,1,0.0297,0.976,0.881,0.165,0.15,78.011,3
spotify:track:1dg09xDUvkYDSpxVivrA34,"A Dante Symphony, S.109: 1. Inferno","Liszt: Faust Symphony; Dante Symphony; Les Prélludes; Prometheus","Franz Liszt;Orchestre de la Suisse Romande;Jesús López-Cobos",2000-01-01,1163093,38,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:32:39Z,"classical piano,classical,opera,impressionism,orchestral,ballet","Decca Music Group Ltd.",0.231,0.126,1,-19.755,1,0.0422,0.902,0.708,0.0857,0.0376,74.756,4
spotify:track:6cC6h5E351deEGFd7Kh9uy,"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor","Paganini: 24 Caprices","Niccolò Paganini;Itzhak Perlman",2000-02-01,268853,61,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:32:45Z,"classical,concerto,chamber music","Warner Classics",0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,4
spotify:track:2OQzVmgl8WoNEYDdOLSEOf,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": III. Presto agitato","Beethoven: The Piano Sonatas","Ludwig van Beethoven;Daniel Barenboim",1984-01-01,461400,47,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:33:26Z,"classical,classical piano,chamber music,impressionism,opera,concerto","Deutsche Grammophon (DG)",0.287,0.0855,6,-24.19,0,0.0481,0.992,0.888,0.105,0.114,156.795,4
spotify:track:363LVCWmC8oafSBJXsJgB7,"Coriolan, Op. 62: Coriolan Overture, Op. 62","Beethoven: Triple Concerto; Overtures","Ludwig van Beethoven;Berliner Philharmoniker;Herbert von Karajan",1985-01-01,537506,44,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:35:00Z,"classical,classical piano,chamber music,orchestral,ballet,opera,impressionism,concerto","Deutsche Grammophon (DG)",0.259,0.172,5,-17.061,0,0.038,0.726,0.901,0.108,0.148,76.361,4
spotify:track:0IyGHPrmMBLPZZ7Nrc9wAg,"Mendelssohn: String Quartet No. 6 in F Minor, Op. 80, MWV R37: II. Allegro assai","Mendelssohn Felix and Fanny","Felix Mendelssohn;Quatuor Ébène",2013-01-04,273947,41,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:35:19Z,"chamber music,classical,classical piano,choral,concerto,impressionism","Warner Classics",0.352,0.289,5,-11.603,0,0.0469,0.926,0.692,0.172,0.233,138.85,1
spotify:track:0FyAT4nUMZWJmAI1Qov1Zj,"Masquerade (Suite): 1. Waltz - Excerpt","Khachaturian: Masquerade (Suite): 1. Waltz [Excerpt]","Aram Khachaturian;London Symphony Orchestra;Stanley Black",2020-06-19,130961,50,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-12T09:36:05Z,"classical,orchestral,ballet,opera,exotica","Decca Music Group Ltd.",0.171,0.286,0,-15.125,1,0.0342,0.699,0.92,0.639,0.326,67.264,4
spotify:track:7wyOeWMb8aiR2qjdCEEYZJ,"Moonlight Sonata (3rd Movement)","Betoven - Best Piano Pieces","Junior dos Santos Silva",2020-03-06,427247,0,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-20T06:12:46Z,"","Junior dos Santos Silva",0.242,0.193,9,-23.566,1,0.037,0.968,0.864,0.105,0.114,155.864,4
spotify:track:0nF5aQoLs2YtbWwClXvumL,"Flight of the Bumblebee","Humoresque - Favorite Violin Encores [Expanded Edition]","Nikolai Rimsky-Korsakov;Isaac Stern;Milton Katims;Columbia Symphony Orchestra",1963,77093,52,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-25T09:59:04Z,"classical,chamber music,concerto,orchestral","Sony Classical",0.581,0.715,2,-11.645,0,0.0366,0.861,0.81,0.391,0.966,93.616,3
spotify:track:4wgS4pen0Kej9PafGhUhMJ,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto","Vivaldi: The Four Seasons","Antonio Vivaldi;Kyung-Wha Chung;St. Luke's Chamber Ensemble",2001-01-05,169906,59,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-25T10:03:40Z,"baroque,classical,concerto,early music,chamber music,contemporary classical","Warner Classics",0.292,0.456,7,-14.098,0,0.0378,0.858,0.938,0.172,0.511,149.393,3
spotify:track:3uTohvsjRfAmli9biztkEc,"Main Titles","Merlin: Series Two (Original Television Soundtrack)","Rob Lane;Rohan Stevenson",2009-11-17,34483,28,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-25T10:11:06Z,"","MovieScore Media",0.223,0.545,6,-11.142,1,0.0429,0.384,0.75,0.811,0.426,99.208,3
spotify:track:1f9INE3upWBEyjwPNuBlZa,"Requiem, K. 626: Confutatis","Mozart: Requiem Realisations","Wolfgang Amadeus Mozart;Academy of Ancient Music;Stephen Cleobury;Choir of King's College, Cambridge",2013-04-08,156826,41,false,hbw4ryylwibkbkfi9w8v1nedt,2022-06-21T13:51:22Z,"classical,opera,classical piano,chamber music,concerto,baroque,choral,hymns,christmas","Kings College Cambridge",0.216,0.0747,5,-25.119,1,0.0414,0.976,0.415,0.205,0.0344,66.779,3
spotify:track:3ejpnLTJJeeMe2K7V95iIn,"Peer Gynt Suite No.1 op. 46 In the Hall of the Mountain King (Alla marciia e molto marcato)","Edvard Grieg: Orchestral Works (Classical Mastepieces)","Academy of St. Martin in the Fields",1994,145466,40,false,hbw4ryylwibkbkfi9w8v1nedt,2022-06-21T13:52:45Z,"classical,baroque,chamber music,concerto,orchestral","CFClassic",0.392,0.156,4,-18.118,0,0.0385,0.953,0.956,0.0843,0.535,132.058,4
spotify:track:2gK0pgL5CwCxOvP0Ks9gGz,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Scherzo. Molto vivace – Presto","Beethoven: Symphony No.9","Ludwig van Beethoven;Berliner Philharmoniker;Herbert von Karajan",1984-01-01,626000,50,false,hbw4ryylwibkbkfi9w8v1nedt,2022-06-21T13:57:07Z,"classical,classical piano,chamber music,orchestral,ballet,opera,impressionism,concerto","Deutsche Grammophon (DG)",0.397,0.167,7,-20.965,1,0.0555,0.966,0.818,0.0884,0.254,118.824,4
spotify:track:0dXrZ47LxK2PHm4mjSlwgt,"The Planets, Op. 32: I. Mars, the Bringer of War","Holst: The Planets / John Williams: Star Wars Suite / Strauss, R.: Also sprach Zarathustra","Gustav Holst;Los Angeles Philharmonic;Zubin Mehta",1997-01-01,429600,45,false,hbw4ryylwibkbkfi9w8v1nedt,2022-06-21T13:58:43Z,"classical,orchestral,opera","Decca Music Group Ltd.",0.293,0.317,7,-14.707,1,0.0336,0.689,0.923,0.121,0.0859,76.749,3
spotify:track:64ta7ZvTJeThz7Ns4LmAHS,"Symphony No. 25 in G Minor, K. 183: I. Allegro con brio","Amadeus","Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner",2000-01-01,460026,59,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:31:21Z,"classical,opera,classical piano,chamber music,concerto,baroque,orchestral","Verve (Adult Contemporary)",0.428,0.237,7,-13.764,0,0.0351,0.987,0.896,0.0849,0.357,79.904,4
spotify:track:49PW9bMARMbzVJJEhhtfyA,"Tuba Mirum","Verdi Requiem","Giuseppe Verdi;Carmen Giannattasio;Veronica Simeoni;Alxander Timchenko;Carlo Colombara;Yuri Temirkanov;St. Petersburg Philharmonic Orchestra",2009,204973,35,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:31:46Z,"opera,classical,classical piano","Signum Records",0.228,0.156,7,-17.031,0,0.0402,0.912,0.34,0.134,0.0369,103.798,4
spotify:track:2SvULYdmPes23yZQYeLkXV,"21 Hungarian Dances for Orchestra, WoO 1: No. 5, Allegro (Arr. A. Parlow)","Brahms: 21 Hungarian Dances, WoO 1 (version for orchestra)","Johannes Brahms;Budapest Symphony Orchestra;Istvan Bogar",1988-06-25,135773,0,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:31:49Z,"classical,classical piano,chamber music,orchestral","Naxos",0.32,0.127,7,-15.953,0,0.0366,0.929,0.813,0.25,0.272,144.451,3
spotify:track:4ZFlzTrPk1l35ASqmeKQ1W,"Tocatta and Fugue in D Minor","In Concert with The University of Illinois Concert Band - The Begian Years, Vol. VI","Johann Sebastian Bach;The University of Illinois Symphonic Band;Dr. Harry Begian",1996-01-01,600493,35,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:32:03Z,"baroque,classical,classical piano,concerto,early music","Soundset",0.177,0.0685,2,-20.529,0,0.0411,0.959,0.767,0.647,0.156,82.313,4
spotify:track:1EjfCGPicAauZwnbFrTczK,"Egmont Overture, Op. 84 - 2018 Remastered Version","Szell Conducts Beethoven Overtures (Remastered)","Ludwig van Beethoven;George Szell;The Cleveland Orchestra",2018-07-27,515000,44,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:32:33Z,"classical,classical piano,chamber music,orchestral,concerto,impressionism,ballet","Sony Classical",0.286,0.125,5,-16.159,0,0.0418,0.91,0.758,0.095,0.0863,82.975,3
spotify:track:4Yj5BlxJnOm6wn5DERt1H6,"Carmen: Habanera - Instrumental","Opera Without Words","Andre Kostelanetz;New York Philharmonic",1989-11-02,114106,49,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:32:46Z,"orchestral,classical,easy listening","Sony Classical",0.371,0.156,2,-14.632,1,0.0333,0.977,0.664,0.194,0.538,135.888,4
spotify:track:3hV5dMJInC0TkUJ2lgdbRT,"Toccata and Fugue in D Minor, BWV 565","The Organ of the Bernardine Basilica in Leżajsk","Johann Sebastian Bach;Robert Grudzień",2013-08-01,535760,0,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:33:29Z,"baroque,classical,classical piano,concerto,early music","DUX",0.093,0.16,2,-19.325,0,0.0324,0.799,0.928,0.074,0.0835,85.954,4
spotify:track:4jLzuTHY77rqIOHuO2gUnS,"Marche Funèbre","Marche Funèbre","Rousseau",2019-12-25,524807,0,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:33:54Z,"classical piano,classical","Proximity",0.402,0.00419,1,-21.983,1,0.0534,0.988,0.924,0.104,0.157,61.258,4
spotify:track:1lWoPg6qu3RNLeXkt1OPmh,"The Isle of the Dead, Op. 29","Rachmaninov: Symphony No. 1; The Isle of Dead","Sergei Rachmaninoff;Russian National Orchestra;Mikhail Pletnev",2000-01-01,1120000,42,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-16T12:35:14Z,"classical,classical piano,concerto,orchestral,ballet","Deutsche Grammophon (DG)",0.0725,0.0488,10,-22.31,1,0.0426,0.92,0.893,0.0624,0.0343,79.327,3
spotify:track:5FGjk7ToA7tm8MVGwL9HZC,"Don Giovanni, K. 527: Overture","Mozart: Piano Concerto No. 23, Symphony No. 40 & Don Giovanni Overture","Wolfgang Amadeus Mozart;Le Concert de la Loge;Julien Chauvin",2022-09-23,336320,43,false,hbw4ryylwibkbkfi9w8v1nedt,2023-02-19T10:05:10Z,"classical,opera,classical piano,chamber music,concerto,baroque","Alpha Classics",0.322,0.154,2,-18.765,1,0.0467,0.897,0.857,0.232,0.11,138.773,4
spotify:track:6NCBtYePOsHDak9euerXsK,"Slavonic March, Op. 31, TH 45","Tchaikovsky: Symphony No. 1 & Slavonic March","Pyotr Ilyich Tchaikovsky;Russian National Orchestra;Mikhail Pletnev",2012-01-01,555480,46,false,hbw4ryylwibkbkfi9w8v1nedt,2023-08-04T00:21:49Z,"ballet,classical,orchestral,classical piano","Pentatone",0.324,0.209,10,-19.164,0,0.0446,0.868,0.918,0.118,0.0766,109.73,4
spotify:track:3FTtol76FmRdVNRUO42csG,"1812 Overture, Op. 49, TH 49","Tchaikovsky: Ouverture Solenelle Op. 49 ""1812""; Fantasy Overture ""The Tempest""; Marche Slave, Op. 31; Fantasy Overture ""Romeo and Juliet""","Pyotr Ilyich Tchaikovsky;Berliner Philharmoniker;Claudio Abbado",1999-01-01,885000,43,false,hbw4ryylwibkbkfi9w8v1nedt,2023-08-04T00:22:28Z,"ballet,classical,orchestral,opera,impressionism,concerto,expressionism","Deutsche Grammophon (DG)",0.15,0.229,5,-17.426,0,0.0657,0.941,0.845,0.118,0.0793,65.121,3
spotify:track:3qFIwHZMt9EOhNjouKSstx,"Symphony No. 10 in E Minor, Op. 93: II. Allegro","Shostakovich: Symphony No. 10","Dmitri Shostakovich;Royal Liverpool Philharmonic Orchestra;Vasily Petrenko",2010-11-16,245586,0,false,hbw4ryylwibkbkfi9w8v1nedt,2023-10-07T09:15:37Z,"classical,chamber music,orchestral,concerto","Naxos",0.462,0.624,5,-8.213,0,0.0631,0.758,0.919,0.269,0.32,88.205,4
Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6IwkAKDDiePu3yv4iiF8cP,"Mendelssohn: Violin Concerto in E Minor, Op. 64, MWV O14: I. Allegro molto appassionato","Bruch & Mendelssohn: Violin Concertos","Felix Mendelssohn;Itzhak Perlman;Bernard Haitink;Royal Concertgebouw Orchestra",2006-01-01,779653,25,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-09T13:30:47Z,"chamber music,classical,classical piano,choral,concerto,opera,orchestral,impressionism,ballet","Warner Classics",0.25,0.158,4,-18.502,0,0.0417,0.892,0.024,0.136,0.13,97.289,4
spotify:track:0m2bDgzEOlDEn8gCsJe6OD,"Mendelssohn: Violin Concerto in E Minor, Op. 64, MWV O14: II. Andante","Bruch & Mendelssohn: Violin Concertos","Felix Mendelssohn;Itzhak Perlman;Bernard Haitink;Royal Concertgebouw Orchestra",2006-01-01,491973,20,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-09T13:30:47Z,"chamber music,classical,classical piano,choral,concerto,opera,orchestral,impressionism,ballet","Warner Classics",0.092,0.0857,0,-24.509,1,0.0462,0.837,0.101,0.0859,0.038,77.096,3
spotify:track:5siY8odCdTkruTJBWuPBcL,"Mendelssohn: Violin Concerto in E Minor, Op. 64, MWV O14: III. Allegretto non troppo - Allegro molto vivace","Bruch & Mendelssohn: Violin Concertos","Felix Mendelssohn;Itzhak Perlman;Bernard Haitink;Royal Concertgebouw Orchestra",2006-01-01,394226,19,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-09T13:30:47Z,"chamber music,classical,classical piano,choral,concerto,opera,orchestral,impressionism,ballet","Warner Classics",0.449,0.188,4,-20.369,1,0.0473,0.876,0.575,0.182,0.351,84.908,4
spotify:track:1B2DPLbG99ORLJGRUEBFi8,"Violin Concerto in D Major, Op. 61: I. Allegro ma non troppo","Beethoven: Violin Concerto","Ludwig van Beethoven;Anne-Sophie Mutter;Berliner Philharmoniker;Herbert von Karajan",1980-01-01,1593866,35,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-09T13:47:52Z,"classical,classical piano,chamber music,concerto,orchestral,ballet,opera,impressionism","Deutsche Grammophon (DG)",0.238,0.0935,2,-21.105,1,0.0429,0.852,0.0372,0.123,0.0852,100.485,4
spotify:track:5n4slL83qv22IyrjSvfik6,"Violin Concerto in D Major, Op. 61: II. Larghetto","Beethoven: Violin Concerto","Ludwig van Beethoven;Anne-Sophie Mutter;Berliner Philharmoniker;Herbert von Karajan",1980-01-01,689533,33,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-09T13:47:52Z,"classical,classical piano,chamber music,concerto,orchestral,ballet,opera,impressionism","Deutsche Grammophon (DG)",0.17,0.0434,7,-30.685,1,0.0455,0.742,0.0521,0.198,0.0356,103.561,3
spotify:track:1NIbtuHyjI5LA0XkD3k4PY,"Violin Concerto in D Major, Op. 61: III. Rondo. Allegro","Beethoven: Violin Concerto","Ludwig van Beethoven;Anne-Sophie Mutter;Berliner Philharmoniker;Herbert von Karajan",1980-01-01,616466,35,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-09T13:47:52Z,"classical,classical piano,chamber music,concerto,orchestral,ballet,opera,impressionism","Deutsche Grammophon (DG)",0.401,0.0941,2,-19.567,1,0.0409,0.922,0.0608,0.359,0.243,128.398,4
spotify:track:7JXOJr4T8Uyh2AnKZpCiJx,"The Four Seasons, Spring, Violin Concerto in E Major, RV 269, Op. 8 No. 1: I. Allegro","Vivaldi: Le quattro stagioni","Antonio Vivaldi;Gil Shaham;Orpheus Chamber Orchestra",1994-01-01,194000,20,false,tyr5yogldr4nw8o08mpedkqgh,2020-03-11T14:44:26Z,"baroque,classical,concerto,early music,chamber music","Deutsche Grammophon (DG)",0.537,0.135,4,-16.922,1,0.0445,0.783,0.758,0.0876,0.251,106.911,4
